F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
2,-34.83,1.12,245.04,-10.95,-9.77,-7.66,15.6,3.54,1.8,-10.08,6,-42.53,10.48,,True
2,-36.06,1.44,179.04,-10.06,-9.58,-7.66,16.26,3.08,-1.14,-10.44,24,-51.53,7.3,-6.94,True
2,-35.67,1.86,185.04,-11.52,-8.92,-3.66,15.62,1.62,-0.45,-11.82,7,-61.53,9.98,-7.48,True
2,-34.38,0.82,221.04,-11.44,-12.43,-5.66,15.96,1.8,4.05,-12.24,2,-78.53,10.08,-5.22,False
20,-28.68,15.2,704.04,-8.19,-6.14,-8.66,25.44,11.3,-9.48,-18.3,335,-79.53,0.58,,False
20,-22.77,14.4,224.04,-7.72,-5.57,-8.66,24.84,17.5,-13.41,-7.44,70,-94.53,8.54,-4.59,False
2,-35.85,0.68,191.04,-12.65,-11.48,-5.66,15.86,2.08,0.84,-10.38,20,-44.53,9.62,-5.18,False
2,-38.76,0.78,239.04,-10.2,-10.3,-5.66,16.58,3.08,6.99,-10.95,1,-75.53,8.26,-7.56,True
20,-27.69,16.5,734.04,-6.06,-4.63,-28.66,27.44,16.3,-12.75,-18.18,315,5.47,0.22,,False
2,-34.44,1.52,266.04,-10.36,-9.79,-7.66,15.84,3.14,-1.56,-9.18,13,-55.53,7.84,,True
20,-21.45,16.9,539.04,-6.24,-4.98,-8.66,25.74,12.9,-8.73,-9.36,105,-79.53,0.7,,False
20,-22.92,11.5,584.04,-6.93,-5.22,-18.66,27.84,23.7,-12.54,-9.84,350,-74.53,2.36,-5.08,False
2,-37.56,0.28,188.04,-12.62,-11.53,-7.66,16.8,1.24,-0.33,-12.36,20,-43.53,8.24,-6.3,True
20,-20.52,13.5,374.04,-7.12,-8.74,-8.66,28.14,17.5,-15.15,-12,185,-89.53,-1.9,-5.97,False
2,-39.96,0.64,239.04,-11.58,-11.88,-3.66,15.72,3.84,9.54,-20.58,14,-69.53,9.32,,False
20,-26.25,10.6,419.04,-6.94,-5.85,-18.66,25.34,20.7,-6.72,-7.62,35,-74.53,0.88,-4.41,False
20,-18.54,17.7,389.04,-4.61,-5.58,-8.66,31.04,19,-17.31,-15.84,340,-149.53,-3.1,-4.83,False
20,-21.33,13,764.04,-8.87,-5.99,-18.66,30.54,12.5,-13.71,-8.91,110,-129.53,0.32,-5.49,False
2,-36.09,1.9,263.04,-10.03,-10.85,-3.66,16.18,3.56,4.41,-11.76,40,-77.53,7.8,-7.7,True
20,-18.63,18.9,329.04,-6.38,-4.3,-18.66,29.04,12.5,-12.93,-12.06,315,-79.53,-1.84,-6.37,True
20,-21.63,16,524.04,-10.03,-3.95,-13.66,28.24,25.8,-13.47,-10.44,185,-54.53,3.56,,True
2,-35.4,1.98,179.04,-10.81,-8.82,-5.66,15.4,3.64,3.51,-9.78,24,-57.53,9.16,,True
20,-22.47,12.3,809.04,-6.52,-6.72,-18.66,29.14,12.5,-9.72,-8.01,50,-129.53,2.98,-4.55,False
20,-19.2,16.7,329.04,-7.07,-5.01,-18.66,31.34,14.8,-15.57,-10.17,245,-74.53,-1.44,,True
2,-35.7,0.3,218.04,-11.97,-10.45,-5.66,15.96,2.7,-0.09,-14.76,11,-61.53,9.62,,False
20,-28.11,11.9,314.04,-5.8,-3.73,-28.66,32.84,15.2,-17.64,-8.76,250,-29.53,-3.04,,True
2,-39.78,1.16,200.04,-11.57,-11.25,-7.66,15.14,0.24,-0.81,-9.96,2,-45.53,13.14,-5.16,False
2,-55.23,0.12,260.04,-11.23,-9.83,-5.66,16.58,2.78,-0.39,-14.19,9,-42.53,8.6,,True
20,-22.17,14,509.04,-5.84,-4.43,-8.66,27.64,11.5,-13.14,-11.49,50,-69.53,-0.76,,False
20,-23.01,17.3,704.04,-5.41,-3.6,-8.66,30.74,20.2,-13.53,-13.95,285,-104.53,-2.5,,False
20,-20.82,12.5,584.04,-5.74,-4.25,-8.66,29.94,17.7,-12.93,-14.67,165,-114.53,-1.68,,False
2,-34.38,0.72,269.04,-14.95,-8.78,-5.66,16.72,3.14,2.52,-16.86,35,-74.53,10.14,-6.95,True
2,-36.72,0.36,218.04,-10.1,-11.38,-7.66,16.56,0.8,1.92,-12.18,18,-50.53,7.58,-5.28,False
20,-20.79,19.2,449.04,-6.97,-3.88,-18.66,27.04,15.6,-13.38,-13.38,295,-134.53,-2.5,-5.42,False
20,-29.37,12.4,764.04,-6.26,-5.05,-18.66,31.24,13.5,-13.92,-7.35,205,45.47,0.94,,True
2,-34.92,1.92,266.04,-10.2,-9.75,-5.66,15.32,3.24,-0.78,-12.87,21,-66.53,10.96,,False
20,-30.72,13.7,209.04,-7.83,-5.79,-8.66,25.54,26.3,-8.13,-7.8,55,-64.53,-0.58,-4.59,False
2,-35.1,1.38,164.04,-10.62,-13.1,-5.66,15.18,1.18,4.5,-10.53,5,-40.53,8.88,-5.73,False
20,-20.31,15.7,389.04,-5.78,-6.17,-18.66,27.74,23.4,-15.84,-16.65,340,0.47,-2.1,,True
2,-35.19,1.38,275.04,-11.69,-8.8,-7.66,16.2,1.98,-1.38,-14.25,70,-55.53,7.96,-7.85,True
2,-34.05,1.6,182.04,-10.18,-10.29,-6.66,16.5,1.22,1.89,-12.39,14,-59.53,9.46,-7.04,True
2,-37.56,1.52,191.04,-10.27,-8.85,-7.66,16.14,1.78,2.22,-13.8,21,-42.53,7.64,-7.42,True
2,-34.05,0.74,221.04,-10.63,-9.68,-3.66,16.42,2.22,6.24,-12.84,1,-79.53,11.98,,True
2,-34.92,1.14,221.04,-10.85,-10.45,-5.66,14.98,2.96,0.93,-10.8,6,-68.53,10.14,-4.67,False
2,-38.19,1.52,200.04,-12.58,-10.19,-7.66,15.02,3.8,5.58,-10.8,38,-39.53,8.92,-7.36,True
20,-24.36,19.8,614.04,-7.93,-4.16,-8.66,28.14,21.9,-5.07,-13.2,215,-94.53,-0.76,,True
20,-23.85,15.6,539.04,-9.11,-7.9,-18.66,26.84,15.1,-13.95,-8.4,70,-14.53,-1.42,-5.29,False
20,-18.63,11.2,179.04,-4.78,-3.65,-18.66,32.24,17.3,-17.04,-13.05,370,5.47,-2.68,-6.04,True
2,-51.81,1.96,182.04,-12.2,-8.54,-7.66,16.76,3.58,-2.76,-16.32,27,-52.53,8.16,,True
20,-24.9,13.4,314.04,-7.07,-4.61,-18.66,26.84,19,-13.71,-10.5,240,-119.53,1.4,-4.34,False
2,-35.46,1.08,239.04,-10.14,-8.72,-5.66,16.34,3.42,1.02,-14.19,8,-70.53,9.26,-6.81,True
2,-35.97,0.5,239.04,-10.29,-8.91,-7.66,15.74,3.02,-0.57,-15.15,27,-48.53,7.34,-5.36,False
20,-30.75,12,239.04,-5.92,-4.11,-18.66,28.14,18.2,-15,-13.8,355,-129.53,3.12,,False
20,-31.02,19.5,644.04,-6.22,-5.12,-8.66,28.54,24.2,-16.44,-12.87,150,-149.53,-2.28,-6.71,True
20,-20.85,15.9,314.04,-5.74,-4.03,-8.66,26.54,27.8,-9.72,-13.23,150,-124.53,-1.68,,True
2,-37.68,1.6,182.04,-9.88,-12.21,-7.66,16.36,2.96,-2.1,-9.21,24,-48.53,14.04,,True
20,-32.19,13.4,674.04,-8.06,-6.09,-18.66,25.34,15.6,-7.53,-9.54,115,-29.53,1.62,,False
2,-42.39,1.58,233.04,-9.99,-9.46,-7.66,16.32,0.52,18.03,-12.3,1,-50.53,11.58,,True
20,-23.22,10.3,254.04,-5.7,-5.74,-8.66,28.84,16.6,-12.36,-10.74,215,-69.53,-1.32,,False
0,-34.2,1.5,212.04,-10.77,-8.68,-3.66,16.1,2.5,0.87,-16.71,26,-77.53,7.26,-5.98,True
20,-22.77,16.5,149.04,-6.56,-3.24,-18.66,30.44,22.3,5.28,-13.41,370,-149.53,0.48,-6.91,True
20,-22.65,12,584.04,-5.96,-7.07,-28.66,29.84,10.7,-12.15,-8.37,350,10.47,0.98,-5.03,False
2,-35.7,1.72,209.04,-10.42,-9.72,-7.66,16.08,2.82,-1.56,-11.94,5,-44.53,8.64,-6.42,True
2,-50.22,0.76,269.04,-10.57,-9.41,-5.66,15.84,2.86,0.99,-16.5,10,-61.53,7.72,-5.25,False
2,-38.52,1.7,182.04,-11.95,-12.12,-7.66,16.6,2.34,7.53,-11.85,13,-49.53,8.74,,True
20,-26.13,11.6,599.04,-8.08,-7.01,-28.66,27.24,26.7,-11.46,-10.05,265,-44.53,0.02,,False
20,-26.52,14.2,539.04,-8.57,-4.77,-13.66,26.24,11.1,-9.33,-18.54,95,-54.53,8.82,-5.03,False
2,-40.95,0.1,230.04,-12.26,-9.79,-7.66,15.16,2.9,0.96,-12.09,17,-48.53,9.9,,False
20,-29.34,10.7,344.04,-5.72,-6.67,-18.66,28.44,12.5,-14.7,-16.92,295,-79.53,0.42,,False
20,-19.86,18.1,269.04,-6.64,-4.85,-3.66,27.44,11.7,-14.79,-10.53,5,-154.53,-1.66,,True
2,-40.71,1.94,200.04,-10.91,-8.76,-5.66,16.02,3.8,-2.22,-15.9,63,-76.53,7.36,-6.5,True
20,-21.99,13.5,344.04,-9.88,-4.58,-8.66,26.64,19.9,-13.35,-7.44,30,-134.53,-1.64,-5.09,False
2,-35.52,0.96,221.04,-11.45,-9.96,-5.66,15.18,3.74,1.11,-12.57,23,-54.53,10.66,-5.15,False
20,-20.22,12.8,599.04,-6.21,-4.15,-8.66,30.34,21.3,-13.74,-11.31,105,-144.53,-0.8,,True
2,-35.7,1.34,269.04,-10.35,-11.33,-5.66,16.18,2.74,1.38,-12,65,-71.53,10.78,,True
2,-35.07,0.98,233.04,-12.85,-9.22,-5.66,16.16,1.42,7.23,-15.09,35,-58.53,7.52,,False
20,-21.12,13.2,299.04,-7.35,-4.4,-8.66,27.44,13.5,-14.85,-7.47,10,-79.53,-0.5,,True
2,-34.53,1.2,284.04,-11.06,-8.87,-5.66,15.98,3.6,0.51,-16.2,25,-41.53,7.96,,True
20,-19.14,17.1,764.04,-5.43,-5.46,-18.66,32.64,13,-16.11,-12.51,255,-104.53,-1.38,,True
20,-19.62,13.3,284.04,-4.94,-4.52,-28.66,30.64,17.3,-16.17,-6.84,370,30.47,-2.44,,True
0,-41.34,1.56,194.04,-11.02,-9.41,-7.66,15.26,1.92,-1.47,-11.7,7,-40.53,10.84,-6.83,True
20,-24.24,11.5,539.04,-8.34,-5.38,-28.66,27.04,20.7,-9.12,-5.64,100,-19.53,6.48,-6.12,False
20,-21.93,19.1,749.04,-8.24,-5.22,-18.66,25.64,15,-11.28,-14.07,385,-89.53,-1.36,,False
2,-34.44,1.74,212.04,-10.34,-9.81,-3.66,16.18,1.42,2.97,-10.98,21,-72.53,15.38,-7.46,True
20,-28.2,11.9,869.04,-8.63,-6.22,-18.66,28.04,16.3,-11.25,-11.37,230,-49.53,3.02,-5.23,False
20,-21.09,11.2,224.04,-6.4,-4.7,-18.66,28.24,18.8,-14.1,-10.65,80,0.47,-1.28,,False
2,-33.57,2,170.04,-10.6,-9.16,-5.66,16.6,0.8,3.81,-13.68,7,-73.53,7.68,,True
2,-36.39,1.82,194.04,-10.35,-8.93,-5.66,16.4,3.06,-1.95,-10.95,17,-42.53,8.66,,True
20,-26.19,13.1,179.04,-5.11,-4.07,-8.66,29.54,12.7,-14.43,-17.94,115,-109.53,-2.26,,True
20,-30.15,12.5,464.04,-7.41,-6.42,-18.66,25.34,25.6,-7.68,-11.46,160,-39.53,0.12,,False
20,-23.43,16.3,704.04,-7.16,-5.33,-18.66,25.84,17,-12.54,-7.68,65,-134.53,-0.12,,False
20,-18.51,12.4,659.04,-5.57,-3.51,-8.66,34.24,30.5,-15.3,-14.97,330,-89.53,4.18,,True
2,-34.53,2,287.04,-10.22,-9.16,-7.66,16.12,0.64,0.39,-11.88,3,-40.53,8.54,-5.22,True
20,-20.43,17.8,419.04,-7.69,-8.82,-28.66,28.84,11,-11.7,-8.94,230,20.47,-2.52,-7.27,True
20,-22.17,14.1,239.04,-9.29,-6.44,-8.66,24.74,23.9,-13.86,-10.74,175,-154.53,9.26,,False
2,-35.73,1.8,275.04,-10.68,-12.58,-5.66,15.84,1.24,4.35,-11.1,18,-69.53,7.58,-6.31,False
20,-20.43,17.3,329.04,-5.73,-5.82,-18.66,25.94,18.3,-13.98,-10.05,65,-74.53,-1.82,-6.94,True
20,-29.13,11.2,869.04,-7.1,-8.06,-28.66,28.24,24.8,-9.72,-5.67,330,20.47,2.76,,False
2,-35.97,0.62,263.04,-11.75,-8.83,-5.66,16.58,3.26,6.9,-10.29,8,-44.53,7.16,,True
2,-35.16,1.84,170.04,-12.03,-8.45,-5.66,16.36,0.44,-0.27,-12.99,25,-57.53,9.94,-6.88,True
20,-22.2,17.5,719.04,-6.1,-3.94,-18.66,28.84,18.3,-14.01,-11.13,285,-119.53,-2.32,-4.77,False
20,-20.85,20.3,539.04,-8.38,-4.01,-18.66,27.54,17.1,-14.28,-9.3,190,-129.53,-2.3,-6.35,True
2,-35.28,1.72,197.04,-11.83,-8.94,-7.66,15.24,0.8,-1.05,-9.69,3,-46.53,9.1,,True
2,-34.89,0.08,221.04,-10.6,-9.49,-5.66,15.96,2.3,-0.96,-13.65,7,-78.53,9.26,-4.91,False
2,-37.74,0.1,170.04,-10.18,-8.75,-5.66,16.04,2.08,0.87,-13.98,10,-70.53,11.06,,False
2,-34.08,1.76,284.04,-10.57,-9.78,-7.66,16.54,2.98,3.78,-10.83,30,-57.53,7.02,,True
2,-34.32,0.76,167.04,-10.25,-10.92,-5.66,16.02,2.28,0.33,-10.2,2,-72.53,8.48,-5.16,False
2,-38.1,1.3,212.04,-10.62,-8.76,-5.66,16.2,2.12,-1.02,-12.18,65,-66.53,11.7,,True
20,-27.54,16.6,884.04,-6.52,-5.14,-28.66,29.04,10.8,-14.19,-8.28,165,45.47,-0.76,,False
2,-35.19,0.08,290.04,-12.02,-9.37,-7.66,16.66,2.76,-0.15,-9.33,21,-50.53,7.8,-6.85,True
20,-25.89,11.7,749.04,-6.9,-5.81,-18.66,26.74,19.4,-7.8,-14.37,10,-159.53,1.78,,False
20,-21.27,11.6,344.04,-6.76,-4.89,-18.66,30.74,14.2,-14.7,-8.19,240,-24.53,-2.36,-7.6,True
2,-48.33,1.72,230.04,-11.32,-11.23,-7.66,14.98,4.14,-0.03,-10.14,38,-49.53,8.8,-5.84,False
2,-33.72,1.14,218.04,-9.91,-9.15,-5.66,16.68,1.54,-1.05,-10.89,3,-61.53,6.76,,True
2,-38.97,0.98,260.04,-12.88,-13.24,-7.66,15.86,1.76,0.15,-9.84,3,-47.53,9.94,,True
20,-18.87,14.7,209.04,-4.94,-3.59,-18.66,29.04,13.1,-12.69,-11.04,160,-49.53,-1.86,-6.27,True
2,-35.16,1.06,218.04,-10.66,-9.95,-5.66,16.64,0.2,6.99,-19.47,3,-58.53,6.64,-6.49,True
2,-35.01,0.24,209.04,-10.3,-9.96,-5.66,16.34,3.68,0.36,-14.61,47,-61.53,7.32,-6.42,False
2,-34.74,1.46,191.04,-9.99,-8.51,-3.66,16.46,1.86,12.72,-11.73,6,-62.53,7.88,-7.05,True
2,-37.14,1.9,266.04,-14.12,-8.63,-5.66,16.54,3.32,-0.33,-15.57,35,-80.53,9,,True
2,-35.1,1.36,251.04,-10.63,-13.16,-5.66,15.82,2.56,-1.11,-13.5,6,-58.53,8.58,,False
2,-37.89,1.04,260.04,-10.19,-8.75,-7.66,16.54,4.18,3.36,-15,48,-55.53,22.02,-6.63,True
20,-21.27,12.4,434.04,-5.65,-4.29,-8.66,28.44,21.6,-12.15,-10.77,65,-149.53,3.12,-6.8,False
20,-28.32,13.8,599.04,-7.03,-5.41,-28.66,25.04,19.3,-5.13,-8.46,60,5.47,2.52,-4.33,False
2,-34.29,0.58,188.04,-10.74,-12.11,-7.66,15.98,1.26,4.65,-11.4,25,-48.53,10.32,-6.45,False
20,-19.89,14.9,299.04,-6,-3.89,-18.66,29.54,20.6,-11.34,-15.63,375,-124.53,-2.52,-4.59,False
2,-36.69,0.44,191.04,-10.83,-12.42,-7.66,15.92,3.54,0,-8.58,7,-40.53,10.06,-6.51,True
2,-35.7,0.8,281.04,-11.64,-10.39,-5.66,14.8,2.72,2.37,-14.82,1,-49.53,9.42,,False
20,-27,14.1,734.04,-8.4,-6.15,-18.66,25.14,20.4,-10.38,-11.52,310,-119.53,2.14,-4.9,False
20,-22.77,16.3,554.04,-5.64,-6.26,-28.66,26.84,19.8,-13.65,-7.47,270,-9.53,1.08,-6.4,True
20,-22.62,10.3,839.04,-6.96,-5.37,-18.66,30.14,21.3,-10.68,-6.66,85,-139.53,-0.42,,False
20,-21.99,15.4,344.04,-9.63,-7.61,-28.66,25.14,12.3,-8.37,-11.37,35,-49.53,7,-4.69,False
20,-30.09,10.9,854.04,-6.43,-5.43,-18.66,30.04,12.5,-6.45,-12.24,360,-79.53,3.3,,False
2,-35.94,0.78,182.04,-11.78,-9.8,-7.66,16.24,1.22,6.06,-12.93,6,-56.53,7.26,,True
2,-36.15,1.2,194.04,-13.19,-9.57,-5.66,16.38,1.4,-0.18,-11.19,5,-73.53,10.06,-7.82,True
20,-21.87,16.1,434.04,-5.97,-4.72,-18.66,26.14,15.2,-6,-8.37,95,15.47,-0.2,-5.42,False
2,-35.34,1.7,185.04,-10.94,-8.56,-3.66,15.98,1.08,-1.26,-13.29,9,-77.53,6.78,,True
20,-24.75,14.1,584.04,-5.62,-3.85,-8.66,31.14,12.5,-15.9,-12.63,210,-149.53,2.48,,False
2,-36.48,1.9,275.04,-10.22,-8.8,-5.66,15.7,3.38,0.96,-12.93,30,-41.53,10.4,,True
2,-34.83,1.84,272.04,-11.74,-9.27,-5.66,15.3,4.32,1.92,-10.2,35,-51.53,9.62,,False
20,-30.99,18.8,599.04,-6.67,-8.84,-8.66,25.54,16.4,-13.2,-16.08,190,-99.53,-1.26,-4.45,False
2,-34.2,1.38,194.04,-10.35,-8.75,-5.66,16.08,3.1,-0.69,-10.59,1,-53.53,6.96,,True
20,-25.26,11.1,419.04,-6.69,-5.28,-18.66,26.24,27.5,-3.96,-8.61,250,-14.53,0.52,-5.96,False
2,-36.57,0.28,176.04,-10.43,-9.16,-5.66,16.3,3.56,4.86,-13.62,6,-77.53,9.3,,False
20,-30.6,10.6,644.04,-10.66,-7.61,-8.66,25.24,13.8,-7.26,-13.35,220,-124.53,2.34,,False
20,-20.97,18.7,209.04,-7.65,-4.37,-18.66,26.74,13.9,-13.26,-10.74,100,-149.53,-0.54,,True
2,-36.75,2.12,203.04,-10.54,-10.61,-7.66,15.22,1.92,-1.65,-17.01,31,-40.53,7.4,,True
2,-36.99,1.82,269.04,-10.95,-8.92,-5.66,16.56,1.72,1.83,-10.56,27,-55.53,7.14,,True
20,-20.25,12.3,554.04,-5.09,-3.79,-18.66,32.14,19.4,-16.08,-9.63,295,-89.53,-0.06,-6.59,True
20,-24.93,11,344.04,-6.31,-5.85,-18.66,28.54,19.7,-10.83,-16.71,260,-59.53,8.32,,False
2,-37.77,0.64,275.04,-12.76,-9.88,-3.66,16.6,2.36,2.49,-15.21,22,-62.53,9.74,,False
2,-34.17,1.36,197.04,-11.09,-9.66,-3.66,16.78,2.62,-2.49,-14.82,61,-69.53,8.92,-4.82,True
2,-36.51,1.16,191.04,-12.5,-9.9,-7.66,15.7,3.66,1.74,-9.84,28,-47.53,9.28,,True
20,-21.72,10.7,764.04,-6.94,-4.92,-18.66,31.44,14.5,-8.49,-9.75,50,-39.53,1.18,-5,True
2,-35.37,1.52,206.04,-10.14,-9.17,-4.66,16.84,1.54,-1.77,-10.8,23,-59.53,10.94,-6.75,True
2,-45.93,1.64,281.04,-11.25,-11.26,-5.66,16.6,2.7,6.03,-11.61,21,-53.53,7.28,-7.67,True
2,-36.42,0.86,227.04,-11.08,-12.65,-7.66,16.58,3.3,0.87,-10.89,78,-58.53,11.04,,True
20,-30.24,12.3,674.04,-8.16,-5.84,-18.66,26.14,26.7,-8.04,-6.72,155,15.47,0.78,-4.48,False
2,-43.38,1.62,227.04,-13.28,-10.35,-5.66,15.6,3.2,-0.84,-11.88,71,-54.53,7.4,-5.71,False
20,-22.5,11.3,599.04,-7.28,-4.54,-28.66,29.04,26,-12.51,-7.29,365,-49.53,3.56,-4.56,False
2,-37.5,0.98,263.04,-10.4,-11.93,-5.66,15.18,2.3,0.6,-13.44,2,-43.53,8.62,-4.34,False
2,-38.19,1.82,215.04,-10.56,-9.28,-7.66,16.34,0.58,-1.26,-19.17,26,-41.53,11.94,-7.66,True
20,-21.15,11.4,224.04,-6.61,-4.39,-18.66,28.84,29.9,-15.72,-7.71,380,-44.53,-0.12,-7.98,True
2,-43.95,1.02,263.04,-12.98,-9.79,-5.66,16.08,1.46,0.99,-13.77,27,-42.53,10.46,-5.1,False
20,-27.39,17.1,839.04,-6.13,-4.79,-18.66,26.64,16.7,-12.36,-9.27,75,-129.53,0.34,-4.39,False
20,-19.62,17.7,239.04,-4.91,-3.56,-8.66,29.14,10.4,-3.84,-12.15,135,-114.53,-2.6,-5.8,True
20,-19.41,13.9,524.04,-7.46,-3.88,-18.66,30.74,26.9,-15.81,-7.71,330,-59.53,-1.58,,True
2,-33.66,1.78,281.04,-11.02,-10.6,-7.66,16.76,3.3,-1.17,-9.18,11,-49.53,7.02,-5.58,True
20,-20.34,11.3,659.04,-8.86,-3.91,-8.66,31.84,14,-9.75,-12.69,170,-99.53,2.9,,False
2,-42.57,0.92,254.04,-10.16,-9.13,-5.66,16.26,1.18,0.27,-13.08,13,-54.53,7.32,-5.79,False
20,-24.24,10.8,809.04,-8.22,-5.8,-28.66,30.64,17.5,-12.48,-6.54,255,-49.53,-1.14,,False
2,-41.22,0.04,197.04,-12.6,-9.89,-5.66,15.18,2.52,1.11,-12.99,3,-44.53,10.24,-5.04,False
2,-35.52,1.22,224.04,-10.57,-9.02,-7.66,15.74,2.68,-0.75,-9.24,15,-48.53,10.78,-6.59,True
20,-30.57,16.5,599.04,-7.72,-4.21,-23.66,27.44,10.4,-11.7,-14.25,65,-54.53,1.88,-6.97,True
2,-36.33,0.32,185.04,-13.56,-12.4,-7.66,14.88,3.2,-0.81,-14.43,9,-43.53,8.4,-6.84,True
2,-36.93,1.28,194.04,-12.46,-10.18,-5.66,15.34,2.86,0.06,-11.19,38,-46.53,8.62,-5.74,False
2,-35.34,1.2,287.04,-11.57,-9.38,-7.66,15.56,0.94,0,-10.74,3,-43.53,9.02,,False
2,-39.78,0.26,215.04,-11.37,-10.24,-5.66,15.68,3.04,1.32,-11.61,4,-54.53,7.54,,False
2,-35.1,0.8,284.04,-10.91,-8.96,-7.66,16.38,1.76,0.69,-10.47,55,-50.53,8.52,-5.18,False
20,-24.3,17.4,629.04,-5.35,-3.42,-18.66,32.54,12.1,-17.97,-10.38,200,-59.53,1.16,-7.45,True
2,-34.47,1.02,233.04,-13.7,-8.97,-7.66,16.64,1.68,4.41,-12.63,44,-56.53,8.08,-7.43,True
2,-40.83,1.16,227.04,-11.29,-9.09,-3.66,16.72,2.48,3.06,-11.88,30,-65.53,8.16,-7.22,True
20,-25.11,17.1,824.04,-9.97,-5.13,-18.66,28.94,12.2,-14.91,-8.16,130,-49.53,0.9,,True
20,-21.12,11.5,569.04,-6.04,-3.62,-8.66,34.74,12,-16.95,-15.6,175,-59.53,-0.64,-5.86,True
2,-35.76,1.18,161.04,-10.02,-8.8,-5.66,16.4,2.52,1.77,-10.74,12,-78.53,6.96,-6.64,True
2,-35.49,0,236.04,-10.45,-10.3,-3.66,16.02,2.36,-0.03,-14.82,2,-73.53,13.82,,False
2,-35.94,0.7,167.04,-10.42,-8.59,-3.66,16.72,3.6,1.56,-13.29,12,-60.53,7.38,-7.16,True
20,-28.05,11.3,824.04,-6.58,-5.86,-18.66,29.04,13.1,-10.35,-9.72,35,-124.53,5.92,-4.97,False
20,-26.67,15,809.04,-7.1,-7.14,-18.66,30.24,22.6,-14.01,-10.74,330,-69.53,-2.46,,False
2,-39.9,0.68,284.04,-10.89,-10.92,-5.66,16.14,3.56,1.59,-10.68,26,-65.53,11.34,,False
20,-21.84,15.8,569.04,-6.65,-4.88,-18.66,27.64,23.2,-11.01,-7.59,175,-119.53,-2.14,,True
2,-39.69,1.58,254.04,-11.36,-10.38,-5.66,15.22,2.9,1.23,-12.57,34,-51.53,16.3,,False
20,-19.44,17,539.04,-6.46,-4.02,-18.66,29.14,14.2,-16.71,-10.65,100,-149.53,-1.84,,True
2,-37.44,0.58,188.04,-10.34,-8.65,-7.66,16.6,2.1,-1.98,-11.07,66,-49.53,14.78,-5.91,True
2,-39.93,1.42,173.04,-10.59,-9.05,-5.66,16.68,1.86,-2.16,-10.11,16,-42.53,8.82,,True
20,-28.17,16.2,824.04,-9.37,-8.15,-28.66,24.04,27.5,-6.69,-8.19,205,-44.53,3.1,,False
2,-37.71,1.18,197.04,-10.23,-8.73,-7.66,15.96,0.92,2.16,-11.4,43,-56.53,7.68,,False
20,-25.77,11,644.04,-7.08,-5.47,-18.66,26.84,28.4,-7.11,-5.82,300,-4.53,2.28,-3.85,False
2,-41.37,1.32,167.04,-13.41,-8.8,-5.66,16.38,1.78,4.29,-12.45,6,-72.53,6.92,,True
2,-41.64,0.12,191.04,-10.63,-9.64,-7.66,15.9,3.9,0.99,-13.98,15,-44.53,9.4,-6.8,True
20,-20.52,18.1,569.04,-5.84,-4.76,-8.66,26.74,24.8,-9.84,-11.85,325,-104.53,-1.24,,False
20,-26.7,14.5,449.04,-7.85,-4.82,-18.66,25.84,21.6,-10.14,-7.98,280,-39.53,-0.16,-5.39,False
2,-37.32,1.02,245.04,-13.24,-8.86,-5.66,15.74,2.2,-0.39,-11.34,13,-71.53,10.76,,False
20,-18.84,18,674.04,-4.93,-4.96,-18.66,30.34,14.7,-16.95,-15.09,105,-109.53,0.58,,True
20,-28.74,15,659.04,-6.22,-4.97,-28.66,27.04,24.5,-13.41,-5.28,290,40.47,3.12,,False
2,-34.44,1.42,185.04,-11.23,-10.31,-3.66,15.34,2.48,1.83,-14.01,13,-68.53,12.64,,False
2,-35.61,1.22,194.04,-10.47,-8.97,-3.66,16.06,3.36,-1.29,-11.58,23,-64.53,6.84,,True
20,-18.09,14.4,479.04,-6.83,-4.14,-18.66,33.14,12.1,-7.77,-9,250,10.47,-2.64,-5.91,True
20,-20.73,12.8,299.04,-4.98,-4.91,-18.66,31.84,14.4,-15.57,-17.49,350,-149.53,-3.54,-5.42,False
20,-26.79,10.7,674.04,-7.11,-5.66,-18.66,27.54,29.9,-10.89,-9.15,160,-24.53,0.34,-4.33,False
2,-34.83,1.3,284.04,-11.85,-10.67,-5.66,15.88,0.6,1.95,-13.59,9,-51.53,13.86,-5.22,False
20,-20.25,17.8,599.04,-5.21,-7.31,-8.66,29.04,19,-12.33,-10.86,190,-129.53,-1.26,-6,False
2,-34.44,1.38,257.04,-12.86,-9.18,-5.66,15.92,1.28,6.69,-11.7,26,-47.53,15.04,-5.51,False
10,-22.89,19.2,464.04,-6.17,-4.15,-18.66,25.44,15.5,-16.95,-14.43,165,-149.53,0.84,,True
20,-19.05,19.6,404.04,-4.86,-4.36,-18.66,28.54,17.9,-16.47,-8.88,165,-124.53,0.32,-7.48,True
2,-36,0.66,278.04,-12.15,-11.12,-7.66,16.7,2.8,1.44,-17.49,45,-55.53,8.52,,False
2,-37.47,1.24,188.04,-11.23,-11.34,-5.66,15.46,2.6,-1.05,-10.02,38,-48.53,9.28,-5.45,False
20,-21.12,18.2,389.04,-5.61,-4.75,-8.66,24.94,18.9,-13.92,-11.43,155,-144.53,1.72,-5.22,False
20,-23.49,11.3,314.04,-7.4,-6.29,-18.66,25.64,14.1,-8.13,-11.34,25,-139.53,4.3,-5.67,False
