F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,Target
94.35,12,1.26,UK,-9.99,946.81,-657.02,-8.69,4.94,212.97,-450.24,7.44,17.03,12,Low,20769.04,2350.35
112.34,15,24,UK,-1.86,2094.02,1538.92,-9.25,26.4,323.75,-250.53,8.31,22.79,6,Medium,17532.6,99.84
99.95,6,36.99,USA,3.51,1027.47,1535.62,-11.49,3.58,260.14,-286.32,6.78,25.72,8,Medium,11181.72,80.16
21.41,15,1.35,Rest,-16.38,695.26,1296.7,-8.21,6.02,298.05,-305.97,2.4,23.41,6,Very low,-5349.52,0
73,6,0.03,USA,-3.96,1284.11,-32.5,-2.29,10.28,229.69,-352.05,3.66,20.16,12,Low,27230.28,3370.5
91.83,9,1.62,Rest,-13.56,1209.19,847.82,-8.37,12.8,270.14,-206.28,2.88,5.46,10,Medium,26297.52,196.94
66.4,6,0.66,UK,-4.38,1457.75,1294.42,-19.81,6.42,204.68,-653.16,3.03,21.24,14,Very high,-101.84,2745.53
81.77,6,2.01,USA,-20.52,1264.45,1468.04,-11.07,5.26,202.97,-357.75,9.03,27.71,10,Very high,13051.86,2069.82
69.49,9,44.34,UK,-16.02,1051.07,2020.96,-10.58,10.02,244.59,-376.44,15.96,22.34,0,Very high,16016.86,815.31
87.61,21,2.76,USA,-13.41,1542.18,1264.08,-13.53,8.14,248.21,-309.9,1.35,18.63,8,Low,15994.36,0
132.92,15,340.11,UK,-28.59,1518.98,331.32,-13.66,2.72,242.47,-218.73,1.14,19.32,6,Low,27178.58,0
99.42,12,16.71,Europe,-7.62,1558.43,1214.74,-9.45,11.92,248.8,-174.33,11.4,20.27,6,Very high,15560.4,0
89.4,15,26.46,USA,-16.62,1878.53,987.16,-5.61,9.66,267.73,-281.28,7.59,20.75,4,Medium,9835.46,0
74.01,12,2915.52,UK,-5.52,1496.01,883.42,-8.92,2.48,280.06,-247.74,14.19,11.13,6,Very low,25065.5,0
92.09,9,73.89,Europe,-4.17,827.55,1070.16,-9.39,12.22,255.82,-403.02,13.8,21.97,14,High,19267.26,2910.86
87.67,6,102.6,Rest,-1.86,1381.87,2188.02,-11.17,5.96,276.55,-395.28,4.47,22.88,2,High,12957.02,0
45.42,9,6.51,Europe,-18.57,1063.66,1791.66,-11.31,2.02,319,-308.91,9.51,19.11,10,Low,17626.16,0
102.09,9,1.74,Europe,-7.41,2118.61,908.76,-13.57,7.64,249.63,-169.26,21.66,18.23,6,Very high,18810.88,0
96.45,6,0.27,Europe,-27.66,1350.83,99.12,-9.03,0.94,295.2,-321.87,0.99,24.75,10,Very low,12626.34,0
51,18,1.77,Rest,-17.19,1317.24,2372.72,-12.74,6.2,266.05,-349.53,13.74,20.47,10,High,1920.54,0
95.29,9,0.15,USA,-8.37,1470.07,1664.38,-6.61,12.46,285.32,-511.11,17.58,20.4,10,Very low,17280.04,3342.88
87.88,18,6.84,UK,-8.07,1660.65,727.4,-16.52,10.66,255.93,-325.29,10.89,24.11,4,Low,30538.7,0
116.86,12,0.6,USA,-5.55,1543.7,1468.3,-6.44,9.2,284.66,-309.24,8.37,18.61,8,Very low,14274.88,0
141.09,18,30,Rest,-0.69,1368.21,779.76,-9.24,2.56,208.15,-528.12,2.97,27.9,14,Medium,10863.36,583.84
122.16,15,801.03,Rest,-17.76,1641.85,1241.72,-11.51,18.54,275.92,-286.29,19.86,17.25,6,Low,30030.42,269.2
114.31,3,7.68,Europe,-13.92,1636.82,1742.74,-6.87,4.76,241.36,-316.86,14.19,18.77,8,Very high,884.04,419.79
83.42,9,66.87,USA,-1.53,1361.61,2364.6,-13.4,0.46,276.92,-242.16,6.51,20.23,8,Very low,15963.48,0
105.07,18,0.06,USA,-8.37,804.34,456.32,-11.83,0.08,239.08,-445.77,6.03,20.57,6,High,18767.52,1929.85
52.58,3,3.96,USA,0.27,1043.76,117.38,-11.34,23.72,395.09,-386.1,2.61,20.45,8,Medium,16170.16,3790
96.78,6,158.07,Europe,-4.38,1290.18,760.06,-12.72,17.3,270.13,-263.16,18.72,16.23,10,Low,8257.92,2491.88
117.65,12,2.55,UK,-13.08,1605.59,1136.42,-7.23,2.62,271.73,-379.56,18.42,19.15,4,Very low,21355.46,0
82.41,9,1.38,UK,-1.77,1555.25,1661.3,-16.29,5.36,269.2,-316.47,8.37,18.51,8,High,21370.84,0
99.09,15,1.62,Europe,7.71,1295.2,276.02,-8.25,7.5,282.73,-146.82,5.19,29.66,6,Very high,18994.28,0
129.67,9,1.44,Europe,3.18,1266.64,990.82,-14.12,3.52,279.45,-382.17,1.41,16.49,8,Medium,11593.26,107.31
45.35,30,1.65,Rest,6.99,1557.72,792.48,-11.07,6.44,287.39,-279.24,6.78,19.67,4,Low,9824.44,0
53.62,15,0.09,UK,7.08,1180.1,1294.98,-11.4,2.26,296.87,-319.14,3.72,26.08,8,Low,18368.54,0
42.27,21,1.11,USA,-14.73,1383.55,1948.86,-5.98,5.8,298.65,-436.59,19.8,23.52,4,High,20163.98,204
97.82,9,10.56,USA,2.16,964.39,633.92,-11.09,8.6,331.94,-444.72,0.99,24.76,6,Very high,16631.56,3465.82
80.06,15,0.87,Rest,-13.8,1845.93,605.24,-8.09,13.5,258.83,-336.48,2.37,26.65,2,Very high,31442.6,109.19
106.04,6,1.44,UK,-25.08,1544.63,508.64,-11.69,8,286.48,-450.12,19.38,21.92,6,Medium,14497.02,1903.25
85.34,12,0.06,UK,-5.4,1359.71,1588.76,-11.32,5.04,378.95,-123,14.07,24.11,10,Very high,25377.76,0
107.75,6,3.78,USA,-20.49,1098.48,2010.66,-12.13,7.2,314.39,-278.49,6.45,21.1,12,Very low,13802.86,0
91.15,9,0.42,UK,3.99,1281.91,749.08,-8.04,6.12,261.7,-485.22,18.21,19.38,6,Very low,16559.48,1506.1
126.07,3,1.41,USA,-17.64,1212.64,1099.16,-15.4,11.82,373.01,-502.59,23.01,24.86,14,Very high,16073.06,3798.7
74.95,3,0,Europe,-19.56,1235.58,687.18,-12.95,2.96,261.24,-420.21,13.41,20.75,8,Medium,15496.4,2427.17
116.56,12,3.84,USA,-0.57,1714.99,719.36,-7.86,1.3,267.61,-319.26,10.29,20.17,6,Very low,10804.62,0
37.64,9,2.52,Rest,-23.76,920.44,998.34,-11.6,8.7,280.76,-340.32,4.56,21.27,6,Medium,19039.72,395.47
43.44,15,0.21,Rest,-11.4,1567.49,1443.46,-10.16,5.48,277.43,-488.88,4.65,23.41,8,Low,-4303.38,109.65
103.83,12,1203.03,Europe,-7.05,1395.82,1619.62,-7.57,4.62,249.36,-203.88,8.43,18.56,10,Very low,23821.26,0
49.43,9,17.31,UK,-11.61,1201.6,-124.34,-11.85,4.1,309.5,-480.81,5.88,27.86,8,Medium,16975.86,1868.61
9.86,6,275.49,Europe,-9.12,1154.28,1120.06,-9.22,18.16,304.53,-335.85,4.26,33.24,12,Very high,15152.8,2770.51
61.37,3,29.85,Europe,9.81,1282.29,1555.66,-6.76,4.28,259.46,-363.39,5.88,19.79,10,Very low,3491.86,0
120.37,3,144.75,USA,-11.76,1855.56,1744.98,-13.48,6.3,193.59,-222.54,17.22,20.08,10,Very high,20138.66,119.68
79.17,12,4.14,Rest,-2.76,1375.11,900.34,-13.03,3.88,250.7,-243.63,29.73,21.35,8,Very high,30272.3,491.12
108.27,3,21.3,Rest,-5.64,1139.52,1199.3,-6.92,13.08,248.81,-332.22,5.85,20.18,18,High,5754.9,1323.82
22.4,18,3.21,Europe,1.92,1310.91,1521.16,-10.96,12.62,249.96,-536.04,1.08,22.28,4,Medium,2394.96,1033.16
64.93,15,143.64,Rest,-14.67,1108.88,2105.5,-16.14,1.7,300.76,-234.21,7.14,25.68,14,Medium,2489.48,0
144.21,12,0.03,Rest,5.25,1227.38,313.8,-16.93,15.12,231.65,-396.48,1.83,17.31,8,Very high,25623.84,1188.84
108.42,9,0.03,Rest,-14.34,1344.83,1114.18,-15.76,7.4,287.25,-459.24,19.44,22.93,4,Very high,26721.28,1043.89
114.34,15,0.84,UK,-11.1,1590.9,1857.3,-9.01,0.78,243.13,-345.9,8.76,18.92,2,Low,25500.34,0
115.27,9,4.29,Rest,-17.76,1168.25,771.14,-12.14,6.54,293.93,-350.94,9.51,21.49,4,Low,2454.46,238.58
109.8,6,2.01,UK,-4.86,1244.31,1840.36,-8.84,7.24,308.16,-334.32,13.53,18.65,8,Very low,23340.64,229.03
89.29,9,0,Rest,-1.11,1431.15,1039,-13.45,18.88,129.27,-383.34,4.38,22.35,8,Low,17854.68,692.22
69.72,18,0,USA,-10.41,1679.21,1942.88,-8.9,10.94,302.92,-358.74,6.45,24.32,6,Low,23249.2,0
117,3,10.95,USA,-8.7,1195.15,1456.16,-13.31,4.16,273.61,-285.93,32.25,23.83,12,Medium,17876.6,3240.08
80.55,6,0.42,Europe,9.78,1675.66,1135.46,-7.46,2.4,236.43,-232.11,5.55,18.67,10,Low,-3910.72,0
101.3,21,0.93,Rest,-10.38,1414.99,1493.88,-9.84,3.66,270.86,-443.4,13.62,16.85,12,High,18608.84,306.95
48.4,9,1.59,USA,-15.72,512.83,789.46,-17.42,5.24,376.89,-346.62,21.48,18.33,6,High,14571.1,3634.18
113.81,15,0.75,UK,-3.21,1808.56,793.94,-8.59,7.3,229.15,-315.87,8.67,25.8,10,Very low,23583.98,0
75.04,9,0.78,UK,-14.58,1680.33,1496.88,-6.22,9.84,319.52,-400.83,2.07,18.68,4,Very low,12764.44,0
96.18,9,152.52,UK,-6.66,1355.9,2040.8,-9.45,20.98,242.26,-350.43,12.75,13.38,4,Very low,10350.16,615.93
76.12,15,1.14,UK,-19.89,932.74,1098.88,-12.2,6.98,301.06,-336.54,31.17,20.28,14,Very high,27100.9,2389.1
161.05,12,0,Europe,-11.01,1214.13,1632.02,-9.76,6.32,249.76,-300.93,5.88,21.33,12,Medium,16546.02,0
158.2,24,17.64,Rest,9.9,1683.89,1701.82,-8.06,7.92,309.25,-360.39,7.83,23.12,12,Very low,20597.12,0
65.42,12,0,Europe,-4.8,1247.81,1269.62,-3.87,13.46,282.67,-345.54,8.52,22.66,6,Low,13368.04,711.72
157.64,21,9.18,UK,-14.46,1861.95,1169.22,-6.83,2.96,332.51,-385.8,27.99,19.15,2,High,14385.64,0
103.68,21,0.57,Europe,-16.17,1093.9,1086.82,-11.01,3.32,281.12,-337.71,2.76,30.35,4,Very low,43633.04,0
54.06,12,0.9,Europe,-2.34,1061.5,684.86,-8.08,2.26,307.84,-520.53,15.93,21.83,6,Very low,10168.22,2163.1
104.45,9,6.03,Europe,-2.31,956.33,1483.2,-4.9,5.2,244.75,-317.73,30.93,21.27,8,Very high,6460.82,2551.77
57.57,15,0.21,UK,-8.82,1663.48,1544.76,-14.33,9.68,294.65,-314.7,10.02,19.72,6,Very high,16000.56,69.17
95.53,3,114.66,USA,7.47,1489.35,1677.34,-9.14,3.9,324.66,-385.26,4.05,18.48,6,High,6732.74,190.31
80.85,3,0.24,UK,-8.67,1601.43,-164.92,-8.81,7.56,235.79,-301.08,5.91,19.75,14,Very low,23767.72,1192.01
115.54,12,0.81,USA,-4.77,1807.79,1563.38,-10.03,16.76,250.73,-501.78,1.8,22.98,4,Very low,16056.84,418.84
148.67,12,0.09,Rest,-15.06,1112.28,1736.16,-10.24,8.72,225.31,-263.1,10.08,17.52,10,Very low,16519.88,0
124.75,15,190.89,Rest,-8.04,1572.14,263.68,-9.63,11.08,285.08,-310.56,16.98,22.26,2,Medium,19108.44,271.65
53.8,3,28.17,USA,-4.23,1485.9,1113.44,-10.44,7.78,251.02,-325.62,3.54,19.8,6,High,18559.94,612.76
155.62,18,0.6,Europe,-10.53,1679.12,1490.06,-9.23,2.22,319.2,-450.66,5.46,23.85,10,High,15970.3,0
88.77,3,241.29,USA,-15.99,1731.77,882.54,-9.38,0.48,210.85,-314.43,1.2,20.88,8,High,19416.72,0
107.8,9,54.15,Rest,-17.19,1028.22,609.8,-8.34,5.52,217.61,-516.51,13.8,20.4,4,Low,23149.4,998.85
91.58,3,27.63,Europe,-12.93,1170.75,1020.68,-1.26,9.2,273.7,-241.29,6.24,22.3,2,Low,19614.7,0
99.91,12,76.68,USA,-1.08,1220.97,1497.16,-12.21,27.2,218.76,-393.54,6,20.52,2,Low,8145.72,2831.17
86.91,21,1.29,UK,-4.47,900.07,1397.5,-6.82,3.34,275.07,-393.42,27.99,24.18,12,Very high,15354.24,1704.17
137.71,6,5.1,USA,-1.53,1598.68,342.1,-10.74,15.2,191.7,-255.6,1.02,9,8,High,17511.66,1666.02
27.68,9,4.56,UK,-13.29,1592.53,1313.06,-8.59,2.14,183.13,-342.54,1.65,14.78,10,Very low,16503.08,0
59.49,9,0.18,UK,-8.91,1336.43,1321,-10.28,3.04,260.43,-405.72,6.75,20.43,10,Medium,12628.04,604.38
111.49,15,1.92,Rest,-7.59,1530.71,676.38,-11.85,16.3,375.36,-287.1,24.21,26.7,10,Low,20498.3,727.14
83.55,12,336.12,Rest,-17.88,1058.29,1234.38,-14.57,6.14,307.58,-394.65,4.89,21.9,8,High,16303.62,390.46
119.82,18,0,Europe,-11.19,1059.07,756.24,-9.48,22.96,268.63,-294.21,7.11,20.04,10,Medium,21417.34,2448.55
87.01,15,0.78,Europe,9.12,1043.47,1736.96,-3.2,1,259.51,-272.13,6.24,15.81,6,Low,10245.86,0
64.73,9,239.22,Europe,1.14,1366.44,1228.7,-13.15,2.76,218.87,-275.52,18.84,29.33,6,High,21690.38,0
99.92,6,10.74,UK,-10.95,1308.88,1976.9,-11.87,5.5,287.27,-182.64,11.61,13.56,4,Very low,20077.2,0
80.51,15,8.61,Rest,-10.47,1440.86,1186.78,-11.65,8.6,354.31,-461.31,14.94,16.5,18,Very low,11964.14,831.17
99.18,15,2.25,Rest,-7.29,1078.65,1357.28,-10.35,2.68,324.54,-353.94,3.33,21.43,12,Very low,17443.74,0
121.52,18,0.06,Europe,-11.4,1332.27,1646.92,-10.02,3.66,222.44,-364.89,10.32,21.81,10,Very low,10173.26,0
128.86,15,4.56,Europe,-1.65,1684.86,93.34,-8.38,4.08,318.02,-289.53,12.27,20.9,2,High,3511.62,0
133.23,27,119.37,USA,-6.51,1415.63,2491.02,-13.86,11.82,233.07,-191.37,30.72,22.01,12,Low,15847.04,0
98.06,12,1.86,UK,11.37,1615.9,711.36,-8.59,8.5,269.57,-316.77,12.96,19.15,6,High,16977.9,614.88
84.9,12,8.64,Rest,-10.74,1741.73,2131.26,-8.54,8.48,300.67,-411.78,13.02,22.23,12,Medium,18133.12,184.2
117.61,21,0.12,UK,11.88,1464.92,1244.28,-12.93,21.86,360.07,-441.93,16.8,15.17,8,High,13605.54,1988.69
63.67,9,0,UK,-15.96,787.65,212.3,-8.12,18.1,264.38,-297.24,10.35,18.14,2,Low,20531.8,1721.82
106.59,3,2.07,UK,-0.78,1389.76,604.14,-5.44,11.2,244.69,-328.5,7.95,21.56,8,High,27607.72,1536.32
74.37,12,121.38,USA,-9.81,1614.25,-582.4,-10.87,10.22,272.62,-338.73,6.81,18.36,10,Low,26780.44,2605.87
77.24,9,2.4,Europe,-20.31,1396.82,758.96,-10.93,23.04,297.11,-208.86,9.27,-7.19,6,Medium,18018.34,1650.33
100.5,9,0.78,Rest,1.71,1670.52,1846.88,-7.6,11.08,398.05,-294.3,13.23,14.39,4,Very high,13913.62,79.88
59.15,15,4.47,Europe,-7.68,1542.36,1210.56,-13.13,1.44,254.95,-308.34,18.24,19.86,4,Medium,15206.92,0
131.11,12,1.2,Rest,-6.48,1931.51,404.98,-10.67,38.62,258.28,-378.3,2.55,19.41,6,High,-22890.4,1716.41
99.93,18,3.81,Europe,-20.31,1250.52,1490.54,-4.71,8.6,353.97,-362.7,4.92,26,10,Very high,12217.42,492.5
53.42,12,0.45,USA,-7.38,900.78,1065.14,-14.93,4.3,382.03,-260.4,9.75,24.13,14,Very low,14605.58,318.33
54.5,27,28.2,UK,-6.96,1039.37,1611.58,-13.73,3.28,284.02,-461.55,2.01,18.79,6,Medium,14025.36,0
23.19,15,0,Rest,-2.58,1545.32,840.68,-11.54,6.66,348.11,-408.78,1.65,23.49,6,Low,19015.42,25.89
66.82,9,2.31,Rest,-11.82,1475.39,1140.3,-8.59,3,331.89,-501.42,9.51,19.05,6,High,28993.14,545.06
59.38,15,36.33,USA,-10.62,1378.11,455.64,-10.71,10.06,201.14,-290.28,24.63,19.75,6,High,36826.16,2648.71
76.56,12,279.27,Rest,-8.49,1614.61,688.9,-9.37,13.88,260.95,-308.64,19.56,19.85,8,Low,15836.44,494.3
100.64,3,2.19,Europe,-23.16,1509.95,1926.04,-9.63,4.5,284.88,-256.56,7.89,19.3,8,Low,11471.78,0
59.16,3,0.42,USA,-9.57,1472.88,1605.82,-2.68,2.84,271.07,-304.56,10.77,19.82,10,Very low,18592.86,0
76.16,15,3.06,Rest,-16.92,1340.6,1008.68,-12.7,12.26,268.21,-427.53,7.35,18.04,8,Medium,25276.56,575.19
111.35,3,0,Rest,-5.34,1225.19,127.4,-6.56,2.46,320.52,-460.08,70.17,22.06,14,Medium,7292.74,3960.01
103.17,9,4.23,Rest,-6.45,1404.17,287.44,-8.29,1.8,274.78,-203.85,23.34,28.32,8,Medium,14510.34,220.26
104.26,15,33.48,UK,-2.4,1202.56,647.04,-14.42,9.78,256.86,-307.2,15.63,27.29,12,Medium,13488.42,1266.99
117.78,21,2.79,Rest,2.64,1010.9,1895.52,-5.4,4.96,280.1,-460.92,6.6,23.74,8,Low,9221.6,40.22
94.98,15,78.24,Europe,-14.55,766.89,458.32,-10.62,6.68,268.71,-216.24,11.85,19.75,10,Medium,7107.68,908.9
86.71,12,0.33,Europe,13.68,608.54,246.02,-10.98,1.38,364.82,-310.86,7.14,16.67,4,Very low,15951.46,26.4
62.81,12,3.6,USA,-18.66,1121.14,328.26,-7.93,16.22,278.51,-446.94,1.83,22.44,6,Very high,10650.52,3721.75
105.69,12,4.47,Rest,-17.13,1861.52,1977.98,-12.63,0.78,304.55,-469.02,16.32,20.4,4,Very high,22641.28,48.03
53.83,9,0.6,Europe,-4.68,1221.14,1705.72,-12.49,3.94,267.85,-300.78,15.84,21.28,6,High,26954.74,0
93.11,18,62.22,Europe,-5.37,1513.88,749.36,-13.2,7.4,211.34,-445.83,8.91,21.35,10,Medium,15589.86,1310
103.8,6,1.77,Rest,-11.25,1758.99,307.02,-9.44,1.64,307.17,-443.55,13.35,24.63,0,Very high,22373.9,475.9
75.38,18,0.27,USA,4.68,922.5,1676.2,-9.73,4.1,316.63,-294.87,13.05,22.63,8,High,45629.56,58.02
98.23,12,43.8,UK,-8.97,350.68,876.68,-9.53,5.4,283.64,-507.45,6.03,20.77,0,Low,11634.4,1409.08
101.31,12,0,Rest,-2.79,699.43,734.24,-10.75,16.1,213.52,-263.4,13.47,23.47,6,Very high,20072.28,1146.57
143.78,18,683.67,Europe,-0.9,1640.5,1108.2,-10.31,0.58,294.91,-241.41,9.84,22.39,12,High,46679.3,0
145.93,6,0.93,Europe,-0.36,1466.39,1780.82,-7.27,8.3,289.97,-391.47,9.54,20.48,10,High,10952.96,1394.41
85.87,9,0,UK,-15.24,1614.77,776,-9.94,1.72,231.01,-190.59,10.08,16.48,8,Very low,9428.94,0
74.89,9,0.06,UK,-5.64,1641.21,1486.56,-11.11,3.68,227.4,-423.69,22.59,25.86,8,Very high,3925.96,1272.34
60.47,6,5.91,Rest,12.12,1333.96,652.2,-11.37,9.1,280.71,-208.32,16.74,23.05,8,Medium,19213.52,360.45
81.04,18,1.86,Rest,-6.24,2185.11,2334.46,-12.21,3.38,310.47,-251.91,14.31,21.91,6,Medium,819.84,0
70.76,6,117.75,Rest,-12.03,1170.48,1951.42,-8.96,2.12,302.75,-343.29,22.35,26.52,6,Medium,25710.16,204.91
134.16,15,2.04,Rest,10.05,1410.28,1208.18,-11.9,2.18,266.58,-481.86,7.47,27.87,6,Medium,11578.26,170.14
112.23,3,4.59,UK,-0.15,1470.06,556.86,-12.89,15.1,238,-361.23,9.36,20.15,8,Low,14634.44,1657.03
83.84,15,5.19,UK,-19.47,1179.86,1100.52,-12.62,3.7,286.72,-435.42,29.22,15.53,8,Very low,3606.04,1230.7
78.33,12,5.52,USA,-9.39,1408.8,1495.92,-11.24,6.6,258.47,-342.45,6.42,19.63,10,Medium,28110.4,112.05
109.37,15,1.92,USA,-18.15,1292.28,1966.04,-11.54,4.8,222.17,-407.46,20.22,23.98,6,Very high,19291.24,1082.19
58.97,6,41.34,Rest,0.33,2155.49,1692.42,-13.82,4.8,380.85,-467.07,6.27,10.67,12,High,10036.78,225.32
60.99,18,0.54,UK,-6.81,1431.81,-181.54,-14.12,9.38,259.5,-427.71,13.8,16.97,6,Very high,9606.58,1910.08
85.32,3,3.15,Rest,-10.44,1173.91,473.7,-13.99,7.9,353.17,-279.96,2.4,23.1,6,Very high,8356.6,541.42
103.57,9,92.04,UK,7.68,1173.43,1745.02,-12.33,9.62,383.69,-250.65,9.81,22.62,6,Medium,12530.82,0
82.88,27,1.29,Europe,-9.15,1879.28,152.56,-5.97,0.5,232.59,-358.59,16.47,27.07,6,High,11942.68,0
50.93,24,0.6,UK,-5.82,1184.67,186.76,-13.55,9.1,358.29,-312.93,8.16,24.52,14,Low,20191.82,751.89
105.93,12,0.06,UK,-11.85,1739.36,518.36,-10.17,6.08,283.91,-473.01,10.59,21.27,6,High,23108.36,1219.22
13.07,15,8.43,UK,-5.25,1405.71,959.54,-8.2,6.38,245.12,-363.45,27.42,20.41,14,Very low,9341.28,1251
115.15,12,0.45,USA,5.22,1107.16,721.24,-11.49,7.36,269,-501.33,11.88,20.87,6,Very high,20765.98,3684.1
110.59,3,0.6,Rest,-23.34,731.01,1149.42,-14.05,2.6,321.44,-342.6,1.83,14.54,10,Low,19888.78,367.03
154.14,9,5.79,USA,-26.13,969.74,1560.22,-12.8,1.82,286.09,-333.39,30,19.68,8,Very low,-1679.44,1226.5
74.31,15,451.17,Rest,-6.45,2225.58,31.38,-11.65,9.74,219.35,-410.22,18.36,11.22,6,Low,23781.12,343.14
78.24,9,0.18,UK,-16.71,1129.82,265.52,-9.13,5.92,266.39,-404.46,19.83,14.35,12,Very high,1310.9,2686.19
34.69,9,0.27,UK,-15.57,1806.3,868.62,-12.1,19.82,307.45,-296.01,3.27,20.84,6,Very low,33107.44,287.79
57.03,12,3.6,USA,-7.68,1352.85,1369.22,-7.84,19.46,279.62,-266.52,7.83,16.63,0,Medium,15362.02,128.47
93.87,9,0.06,Rest,-3.84,1363.56,1010.24,-17.06,9.46,217.14,-282.84,8.79,20.44,4,Medium,19193.1,106.55
108.45,6,0,Europe,-11.4,1631.15,2044.88,-12.8,5.06,289.44,-535.98,12.18,17.85,4,Medium,18741.16,952.17
123.86,6,0,UK,-11.1,834.23,1190.02,-11.32,4.94,289.99,-327.84,24.96,26.13,12,Very high,26263.18,2308.05
75.6,24,63.57,USA,0.75,1619.33,720.9,-6.78,4.76,257.64,-340.71,19.65,23.44,10,Low,14520.44,24.04
46.92,3,0.51,UK,-13.98,1293.44,1839,-11.22,12.86,282.24,-351.03,1.11,21.34,12,High,13308.04,1140.17
68.96,9,2.52,UK,3.09,1723.34,1671.96,-13.55,8.56,283.34,-299.34,23.19,22.16,6,Very high,20560.58,621.94
96.73,9,0.21,USA,14.55,939.02,1525.2,-9.17,1.14,293.52,-443.49,27.21,19.45,10,High,8679.86,3603.49
114.67,24,37.8,USA,-14.67,1639.21,877.68,-9.13,17.1,288.15,-219.51,20.79,21.39,10,Very low,11311.36,31.81
101.87,18,133.41,USA,-11.94,1489.34,274.68,-7.07,1.64,276.96,-419.25,14.55,19.95,8,Very low,22684.98,374.84
61.55,12,0.15,Europe,-27.12,1175.61,595.58,-7.04,2.84,277.06,-273.81,5.67,18,10,Very low,24142.12,0
90.12,12,0.99,Europe,14.34,1241.64,978.96,-18.92,3.7,278.87,-237.78,18.72,20.55,6,Very high,16623.06,227.74
129.86,21,7.32,UK,5.34,881.51,991.64,-9.86,3.76,297.49,-311.46,13.92,14.95,10,Low,26805.42,249.63
138.24,18,76.8,Europe,2.16,1559.96,1523.36,-9.82,4.5,274.97,-315.42,6.63,23.16,4,Very high,21813.2,0
67.28,3,9.36,USA,18.57,1752.1,664.88,-9.24,6.6,280.23,-445.02,3.27,15.47,14,Very low,17895.48,2274.17
78.82,27,0.03,Rest,-6.09,1742.04,277.96,-2.62,10.58,280.32,-356.88,10.44,20.03,12,Very high,-6834.3,421.37
75.96,15,0.54,USA,-6.9,1694.11,673.54,-14.27,8.42,276.07,-245.85,2.31,23.45,6,High,19179.38,0
49.17,9,2.4,USA,-2.31,1327.3,786.52,-11.99,15.72,264.98,-266.55,14.46,24.11,6,High,21954.9,2713.38
114.72,9,0.09,UK,-8.31,1477.6,-120.16,-17.93,2.44,251.21,-486.27,16.47,17.88,12,High,15528.32,2468.4
79.69,12,3.03,Rest,-3.39,1284.01,1511.34,-8.16,23.5,286.76,-446.34,6.81,22.05,12,Low,24527.86,1241.64
61.62,12,0.15,Europe,-2.76,1122.7,617.04,-7.85,3.76,227.75,-396.6,11.61,21.46,10,Very low,15874.86,1312.62
124.68,9,86.73,Rest,-2.49,1321.99,-175.4,-12.21,5.26,267.22,-154.62,7.89,13.93,6,Medium,14004.86,23.73
88.58,9,2.88,UK,-2.73,1585.44,524.54,-13.19,8.38,249.22,-468.03,5.46,16.35,4,Low,17580.42,908.92
135.06,18,2.01,USA,-5.88,1309.16,614.16,-17.19,1.28,280.8,-370.77,16.02,19.05,6,Very low,35630.86,4.3
96.83,9,24.69,Rest,-4.26,1601.45,1000.74,-9.33,15.92,226.63,-452.37,17.97,12.62,6,Medium,11551.32,1122.57
90.43,9,0.12,Europe,-0.3,1607.2,435.84,-13.16,6.98,257.07,-387.81,8.19,15.68,10,Very low,7931.5,997.13
137.62,18,12.93,Europe,3.66,1560.81,1625.52,-10.41,8.7,299.61,-335.34,12.96,22.36,4,High,-1336.64,0
78.17,18,0.06,USA,-13.44,1313.47,1154.54,-15.84,8.74,322.03,-597.27,15.42,24.43,2,Low,18575.22,2870.07
97.12,12,0.36,USA,-10.02,1543.18,1566.32,-13.45,0.98,275.52,-237.66,8.55,16.84,14,Very high,14384.74,0
90.1,9,8.73,Rest,-18.21,1237.41,2038.56,-10.41,4.32,264.18,-380.64,6.51,19.11,14,High,17089.56,294.22
128.63,9,0.33,Rest,-9.3,1325.65,205.16,-14.29,3.5,310.07,-376.71,15.45,20.66,8,High,-251.06,845.63
106.68,6,0.45,USA,-9.6,646.97,121.8,-9.82,7.58,284.71,-388.47,22.38,19.37,12,High,-149.66,3796.49
88.31,15,8.61,UK,13.41,1473.76,1394.46,-11.41,10.2,281.28,-250.74,5.91,20.76,10,Medium,8852.7,0
124.75,21,23.37,USA,3.63,1543.92,1744.26,-4.33,2.32,297.95,-475.86,32.46,20.01,6,Very low,9982.62,274.1
120.16,9,40.83,Rest,-19.77,745.04,1731.58,-9.49,1.74,337.44,-384.48,6.84,10.87,6,Very high,20934.64,336.31
131.76,15,3.81,UK,-18.42,1736.77,1676.3,-6.42,8.72,290.75,-326.79,1.14,23.39,10,Very high,16427.7,0
121.11,9,2.37,USA,-12.54,1082.35,748.7,-10.81,5.3,204.6,-332.1,10.32,15.75,16,Very high,14342.6,3529.29
123.93,9,1.02,USA,-0.75,1047.79,126.56,-9.8,8.3,261.63,-242.04,25.38,22.35,10,High,26717.26,3635.12
56.76,9,4.77,USA,-23.25,1045.13,2057.2,-13.44,12.52,277.43,-300.42,6.03,23.05,4,High,34942.68,211.1
71.22,9,29.79,USA,-7.89,1385.51,1026.36,-14.7,0.84,302.51,-175.41,9.03,17.39,8,High,20821.2,0
